epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.457,0.40593,1.25116,1.12719,0.11518,0.33654,0.09137,0.02506,2.41975,3.56384,2.42876,0.000656085,0.000656085,0.000656085
2,931.423,0.28091,0.67135,1.0057,0.67009,0.51923,0.61589,0.40213,1.57776,2.66766,1.84063,0.00129656,0.00129656,0.00129656
3,1386.01,0.27821,0.57106,1.00102,0.12969,0.23077,0.06505,0.01736,3.03641,4.90865,3.2932,0.00191064,0.00191064,0.00191064
4,1828.82,0.26443,0.49394,0.99618,0.90486,0.73162,0.83631,0.66796,0.96334,1.91439,1.46789,0.0018812,0.0018812,0.0018812
5,2282.15,0.25726,0.4528,0.98745,0.8899,0.91346,0.92914,0.69568,0.78107,0.81354,1.10697,0.0018416,0.0018416,0.0018416
6,2726.63,0.2323,0.39908,0.98094,0.64548,0.67308,0.68343,0.47017,1.36318,1.74716,1.67179,0.001802,0.001802,0.001802
7,3173.43,0.23141,0.38419,0.97302,0.97174,0.99197,0.99423,0.95065,0.37267,0.54656,0.54899,0.0017624,0.0017624,0.0017624
8,3623.11,0.20006,0.33826,0.95659,0.91051,0.97837,0.96701,0.85595,0.49062,0.66891,0.73234,0.0017228,0.0017228,0.0017228
9,4059.91,0.19599,0.3347,0.94977,0.96168,0.9652,0.98539,0.83075,0.60599,0.79821,0.76113,0.0016832,0.0016832,0.0016832
10,4537.81,0.17924,0.29765,0.94226,0.89605,0.94231,0.95732,0.87949,0.58625,0.64315,0.77592,0.0016436,0.0016436,0.0016436
11,4985.02,0.16943,0.28292,0.93133,0.98088,1,0.99471,0.99379,0.24946,0.48923,0.38335,0.001604,0.001604,0.001604
12,5436.51,0.16067,0.28822,0.93633,0.92866,0.88462,0.96456,0.91056,0.45552,0.65934,0.594,0.0015644,0.0015644,0.0015644
13,5884.73,0.14272,0.25648,0.91636,0.96352,0.99038,0.9837,0.93251,0.38362,0.5164,0.57704,0.0015248,0.0015248,0.0015248
14,6352.98,0.15109,0.2574,0.93276,0.98974,0.92752,0.98412,0.91943,0.50302,0.60356,0.60294,0.0014852,0.0014852,0.0014852
